Player,Country,Mat,Overs,Maidens,Runs,Wickets,4w,Best,Avg,S/R,E/R,Series_Code,H/A,Decade_Index,Matches
Mallett A A,Australia,1,8,1,34,3,0,3|34,11.33,21.33,3.19,193,Home,0,1
Stackpole K R,Australia,1,8,0,40,3,0,3|40,13.33,21.33,3.75,193,Home,0,1
Illingworth R,England,1,8,1,50,3,0,3|50,16.67,21.33,4.69,193,Away,0,1
McKenzie G D,Australia,1,7.4,0,22,2,0,2|22,11,30,2.2,193,Home,0,1
Thomson A L,Australia,1,8,2,22,1,0,1|22,22,64,2.06,193,Home,0,1
Shuttleworth K,England,1,7,0,29,1,0,1|29,29,56,3.11,193,Away,0,1
D'Oliveira B L,England,1,6,1,38,1,0,1|38,38,48,4.75,193,Away,0,1
Connolly A N,Australia,1,8,0,62,0,0,0|62,,,5.81,193,Home,0,1
Lever P,England,1,6,0,30,0,0,0|30,,,3.91,193,Away,0,1
Snow J A,England,1,8,0,38,0,0,0|38,,,3.56,193,Away,0,1
Arnold G G,England,3,33,3,112,6,1,4|27,18.67,33,3.39,194,Home,0,3
Woolmer R A,England,3,30.3,3,130,5,0,3|33,26,36.6,4.26,194,Home,0,3
Lillee D K,Australia,3,33,4,130,5,0,3|25,26,39.6,3.94,194,Away,0,3
Snow J A,England,3,33,3,97,4,0,3|35,24.25,49.5,2.94,194,Home,0,3
Massie R A L,Australia,3,30.3,5,129,3,0,2|35,43,61,4.23,194,Away,0,3
Wood B,England,1,6,0,20,2,0,2|20,10,18,3.33,194,Home,0,3
Watson G D,Australia,2,8,1,28,2,0,2|28,14,24,3.5,194,Away,0,3
Walters K D,Australia,2,11,2,40,2,0,2|24,20,33,3.64,194,Away,0,3
Chappell G S,Australia,3,25,3,74,2,0,1|20,37,75,2.96,194,Away,0,3
Mallett A A,Australia,3,26,3,83,2,0,2|24,41.5,78,3.19,194,Away,0,3
D'Oliveira B L,England,3,26,2,102,2,0,1|19,51,78,3.92,194,Home,0,3
Hammond J R,Australia,1,9,1,41,1,0,1|41,41,54,4.56,194,Away,0,3
Greig A W,England,3,30,4,103,1,0,1|50,103,180,3.43,194,Home,0,3
Close D B,England,3,3,0,21,0,0,0|0,,,7,194,Home,0,3
Colley D J,Australia,1,11,1,72,0,0,0|72,,,6.55,194,Away,0,3
Stackpole K R,Australia,3,2.1,0,14,0,0,0|0,,,6.46,194,Away,0,3
Hadlee D R,New Zealand,1,8,0,34,4,1,4|34,8.5,16,3.19,195,Home,0,1
