Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Lehmann, D S,Australia,29.80%,2,2,0,0,2,0,177,287,67.06,143.50,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Love, M L,Australia,10.38%,2,2,1,0,1,1,100*,100,64.52,100.00,2,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Gilchrist, A C,Australia,4.47%,2,1,0,0,0,0,43,43,91.49,43.00,9,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Hannan Sarkar,Bangladesh,22.65%,2,4,0,2,0,1,76,166,51.55,41.50,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Langer, J L,Australia,7.48%,2,2,0,1,0,0,71,72,32.73,36.00,3,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Habibul Bashar,Bangladesh,19.24%,2,4,0,1,0,0,54,141,54.86,35.25,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Ponting, R T,Australia,7.17%,2,2,0,1,0,0,59,69,64.49,34.50,2,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Sanwar Hossain,Bangladesh,8.46%,1,2,0,0,0,0,46,62,41.89,31.00,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Hayden, M L,Australia,6.33%,2,2,0,1,0,0,50,61,54.46,30.50,1,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Lee, B,Australia,2.39%,2,1,0,0,0,0,23,23,58.97,23.00,2,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Khaled Mashud,Bangladesh,10.23%,2,4,0,0,0,0,44,75,32.47,18.75,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Al Sahariar Rokon,Bangladesh,4.91%,1,2,0,0,0,1,36,36,59.02,18.00,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Javed Omar,Bangladesh,6.00%,2,4,0,0,0,0,26,44,36.07,11.00,3,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Khaled Mahmud,Bangladesh,5.87%,2,4,0,0,0,1,21,43,57.33,10.75,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Tapash Baisya,Bangladesh,4.23%,2,4,1,0,0,1,25,31,49.21,10.33,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Mashrafe Mortaza,Bangladesh,3.96%,2,4,1,0,0,0,15,29,107.41,9.67,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Mohammad Ashraful,Bangladesh,4.09%,2,4,0,0,0,2,23,30,29.70,7.50,2,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Alok Kapali,Bangladesh,3.00%,2,4,0,0,0,2,17,22,34.38,5.50,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Anwar Hossain Monir,Bangladesh,0.55%,1,2,1,0,0,0,4,4,44.44,4.00,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Manjural Islam,Bangladesh,0.14%,1,2,1,0,0,0,1,1,25.00,1.00,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Gillespie, J N,Australia,1.66%,2,1,1,0,0,0,16*,16,106.67,-,1,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
MacGill, S C G,Australia,,2,0,0,0,0,0,-,0,-,-,2,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
McGrath, G D,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
Waugh, S R,Australia,26.58%,2,2,2,0,2,0,156*,256,60.38,-,0,0,0492
Player,Country,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,	Avg,Ca,St,% Team Runs, Series_Code 
MacGill, S C G,Australia,2,70.1,17,219,17,5/56,3,1,12.88,24.76,3.12,0492
