Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code,Decade_Index 
Lehmann D S,Australia,29.80%,2,2,0,0,2,0,177,287,67.06,143.50,0,0,049210
Love M L,Australia,10.38%,2,2,1,0,1,1,100*,100,64.52,100.00,2,0,049210
Gilchrist A C,Australia,4.47%,2,1,0,0,0,0,43,43,91.49,43.00,9,0,049210
Hannan Sarkar,Bangladesh,22.65%,2,4,0,2,0,1,76,166,51.55,41.50,0,0,049210
Langer J L,Australia,7.48%,2,2,0,1,0,0,71,72,32.73,36.00,3,0,049210
Habibul Bashar,Bangladesh,19.24%,2,4,0,1,0,0,54,141,54.86,35.25,0,0,049210
Ponting R T,Australia,7.17%,2,2,0,1,0,0,59,69,64.49,34.50,2,0,049210
Sanwar Hossain,Bangladesh,8.46%,1,2,0,0,0,0,46,62,41.89,31.00,0,0,049210
Hayden M L,Australia,6.33%,2,2,0,1,0,0,50,61,54.46,30.50,1,0,049210
Lee B,Australia,2.39%,2,1,0,0,0,0,23,23,58.97,23.00,2,0,049210
Khaled Mashud,Bangladesh,10.23%,2,4,0,0,0,0,44,75,32.47,18.75,0,0,049210
Al Sahariar Rokon,Bangladesh,4.91%,1,2,0,0,0,1,36,36,59.02,18.00,0,0,049210
Javed Omar,Bangladesh,6.00%,2,4,0,0,0,0,26,44,36.07,11.00,3,0,049210
Khaled Mahmud,Bangladesh,5.87%,2,4,0,0,0,1,21,43,57.33,10.75,0,0,049210
Tapash Baisya,Bangladesh,4.23%,2,4,1,0,0,1,25,31,49.21,10.33,0,0,049210
Mashrafe Mortaza,Bangladesh,3.96%,2,4,1,0,0,0,15,29,107.41,9.67,0,0,049210
Mohammad Ashraful,Bangladesh,4.09%,2,4,0,0,0,2,23,30,29.70,7.50,2,0,049210
Alok Kapali,Bangladesh,3.00%,2,4,0,0,0,2,17,22,34.38,5.50,0,0,049210
Anwar Hossain Monir,Bangladesh,0.55%,1,2,1,0,0,0,4,4,44.44,4.00,0,0,049210
Manjural Islam,Bangladesh,0.14%,1,2,1,0,0,0,1,1,25.00,1.00,0,0,049210
Gillespie J N,Australia,1.66%,2,1,1,0,0,0,16*,16,106.67,-,1,0,049210
MacGill S C G,Australia,,2,0,0,0,0,0,-,0,-,-,2,0,049210
McGrath G D,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,049210
Waugh S R,Australia,26.58%,2,2,2,0,2,0,156*,256,60.38,-,0,0,049210
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code,Decade_Index 
Gillespie J N,Australia,19.97%,2,3,2,0,1,0,201*,231,43.50,231.00,2,0,054711
Ponting R T,Australia,16.51%,2,3,1,1,1,0,118*,191,50.40,95.50,2,0,054711
Hussey M E K,Australia,20.92%,2,3,0,0,1,0,182,242,69.74,80.67,0,0,054711
Gilchrist A C,Australia,13.48%,2,2,0,0,1,0,144,156,67.83,78.00,5,1,054711
Jaques P A,Australia,5.70%,1,1,0,1,0,0,66,66,67.35,66.00,1,0,054711
Shahriar Nafees,Bangladesh,23.23%,2,4,0,1,1,1,138,250,60.98,62.50,1,0,054711
Rajin Saleh,Bangladesh,16.36%,2,4,0,2,0,0,71,176,38.10,44.00,0,0,054711
Hayden M L,Australia,9.25%,2,3,0,1,0,0,72,107,48.64,35.67,6,0,054711
Habibul Bashar,Bangladesh,13.10%,2,4,0,1,0,0,76,141,65.28,35.25,0,0,054711
Mohammad Rafique,Bangladesh,9.67%,2,4,0,1,0,0,65,104,94.55,26.00,0,0,054711
Clarke M J,Australia,4.41%,2,3,1,0,0,0,23*,51,46.79,25.50,0,0,054711
Lee B,Australia,3.80%,2,2,0,0,0,0,29,44,35.48,22.00,3,0,054711
Khaled Mashud,Bangladesh,5.76%,2,4,1,0,0,1,34*,62,29.81,20.67,3,0,054711
Aftab Ahmed,Bangladesh,7.62%,2,4,0,0,0,0,29,82,42.27,20.50,0,0,054711
Mohammad Ashraful,Bangladesh,6.32%,2,4,0,0,0,0,29,68,68.00,17.00,0,0,054711
Javed Omar,Bangladesh,6.13%,2,4,0,0,0,0,27,66,64.71,16.50,0,0,054711
Abdur Razzak,Bangladesh,1.39%,1,2,0,0,0,1,15,15,57.69,7.50,0,0,054711
Shahadat Hossain,Bangladesh,0.65%,2,4,3,0,0,1,3*,7,15.56,7.00,2,0,054711
Martyn D R,Australia,0.95%,1,2,0,0,0,0,7,11,36.67,5.50,0,0,054711
