Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Bevan M G,Australia,19.06%,3,2,1,1,0,0,57,97,81.51,97.00,2,0,0543,Home,5
Martyn D R,Australia,18.27%,3,3,2,1,0,0,92*,93,163.16,93.00,2,0,0543,Home,5
Hayden M L,Australia,17.29%,3,2,1,0,0,0,46*,88,67.69,88.00,1,0,0543,Home,5
Ponting R T,Australia,25.54%,3,2,0,0,1,0,101,130,71.04,65.00,4,0,0543,Home,5
Alok Kapali,Bangladesh,21.07%,3,3,0,0,0,1,49,83,70.94,27.67,0,0,0543,Away,5
Gilchrist A C,Australia,9.63%,3,2,0,0,0,0,31,49,90.74,24.50,6,0,0543,Home,5
Khaled Mahmud,Bangladesh,10.41%,3,3,1,0,0,0,25*,41,51.90,20.50,0,0,0543,Away,5
Khaled Mashud,Bangladesh,4.57%,1,1,0,0,0,0,18,18,42.86,18.00,0,0,0543,Away,5
Javed Omar,Bangladesh,6.85%,2,2,0,0,0,0,16,27,25.23,13.50,0,0,0543,Away,5
Sanwar Hossain,Bangladesh,9.39%,3,3,0,0,0,0,27,37,48.05,12.33,1,0,0543,Away,5
Habibul Bashar,Bangladesh,8.38%,3,3,0,0,0,1,31,33,42.31,11.00,0,0,0543,Away,5
Tushar Imran,Bangladesh,7.87%,3,3,0,0,0,0,28,31,68.89,10.33,1,0,0543,Away,5
Mohammad Rafique,Bangladesh,4.31%,3,3,1,0,0,0,8*,17,39.53,8.50,2,0,0543,Away,5
Al Sahariar Rokon,Bangladesh,4.06%,2,2,0,0,0,0,8,16,38.10,8.00,0,0,0543,Away,5
Hannan Sarkar,Bangladesh,5.33%,3,3,0,0,0,0,19,21,31.82,7.00,2,0,0543,Away,5
Tapash Baisya,Bangladesh,3.30%,2,2,0,0,0,0,11,13,41.94,6.50,0,0,0543,Away,5
Hasibul Hussain,Bangladesh,1.52%,2,2,1,0,0,0,6,6,28.57,6.00,0,0,0543,Away,5
Harvey I J,Australia,0.98%,2,1,0,0,0,0,5,5,71.43,5.00,0,0,0543,Home,5
Mohammad Ashraful,Bangladesh,1.02%,1,1,0,0,0,0,4,4,50.00,4.00,0,0,0543,Away,5
Symonds A,Australia,1.38%,3,2,0,0,0,1,7,7,36.84,3.50,2,0,0543,Home,5
Mashrafe Mortaza,Bangladesh,0.51%,2,2,0,0,0,1,2,2,22.22,1.00,0,0,0543,Away,5
Williams B A,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0543,Home,5
Lee B,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0543,Home,5
Hogg G B,Australia,0.79%,3,1,1,0,0,0,4*,4,133.33,-,2,0,0543,Home,5
Gillespie J N,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0543,Home,5
Bichel A J,Australia,,3,0,0,0,0,0,-,0,-,-,1,0,0543,Home,5
Lehmann D S,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0543,Home,5
Symonds A,Australia,17.98%,3,2,1,0,1,1,103*,103,78.63,103.00,2,0,0607,Away,6
Cosgrove M J,Australia,12.91%,1,1,0,1,0,0,74,74,107.25,74.00,0,0,0607,Away,6
Hussey M E K,Australia,9.42%,3,2,1,0,0,0,36*,54,71.05,54.00,2,0,0607,Away,6
Gilchrist A C,Australia,18.85%,3,2,0,1,0,0,76,108,142.11,54.00,6,3,0607,Away,6
Habibul Bashar,Bangladesh,30.88%,3,3,0,2,0,0,70,155,60.31,51.67,1,0,0607,Home,6
Katich S M,Australia,15.01%,3,3,1,0,0,0,42*,86,64.66,43.00,1,0,0607,Away,6
Clarke M J,Australia,12.22%,3,2,0,1,0,0,54,70,50.36,35.00,2,0,0607,Away,6
Javed Omar,Bangladesh,6.77%,1,1,0,0,0,0,34,34,60.71,34.00,0,0,0607,Home,6
Khaled Mashud,Bangladesh,14.74%,3,3,0,0,0,0,36,74,58.27,24.67,0,0,0607,Home,6
Aftab Ahmed,Bangladesh,6.18%,2,2,0,0,0,0,30,31,58.49,15.50,0,0,0607,Home,6
Rajin Saleh,Bangladesh,8.76%,3,3,0,0,0,1,37,44,37.93,14.67,0,0,0607,Home,6
Tushar Imran,Bangladesh,4.38%,2,2,0,0,0,0,20,22,43.14,11.00,0,0,0607,Home,6
Hogg G B,Australia,1.92%,3,2,1,0,0,0,7,11,61.11,11.00,1,0,0607,Away,6
Ponting R T,Australia,3.32%,2,2,0,0,0,0,14,19,51.35,9.50,0,0,0607,Away,6
Mohammad Ashraful,Bangladesh,3.59%,2,2,0,0,0,0,13,18,32.73,9.00,0,0,0607,Home,6
Alok Kapali,Bangladesh,2.99%,2,2,0,0,0,0,10,15,60.00,7.50,1,0,0607,Home,6
Mashrafe Mortaza,Bangladesh,3.59%,3,3,0,0,0,0,15,18,60.00,6.00,0,0,0607,Home,6
Shahriar Nafees,Bangladesh,3.19%,3,3,0,0,0,2,16,16,66.67,5.33,1,0,0607,Home,6
Abdur Razzak,Bangladesh,1.20%,3,3,1,0,0,0,3,6,42.86,3.00,0,0,0607,Home,6
Mohammad Rafique,Bangladesh,1.59%,3,3,0,0,0,2,8,8,34.78,2.67,0,0,0607,Home,6
Syed Rasel,Bangladesh,,1,1,0,0,0,1,0*,0,0.00,0.00,1,0,0607,Home,6
Johnson M G,Australia,,3,0,0,0,0,0,-,0,-,-,0,0,0607,Away,6
Dorey B R,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0607,Away,6
Cullen D J,Australia,,3,0,0,0,0,0,-,0,-,-,2,0,0607,Away,6
Hopes J R,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0607,Away,6
Shahadat Hossain,Bangladesh,0.60%,2,2,2,0,0,0,2*,3,50.00,-,0,0,0607,Home,6
Bracken N W,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0607,Away,6
Lee B,Australia,2.09%,2,1,1,0,0,0,12*,12,40.00,-,3,0,0607,Away,6
Hussey M E K,Australia,26.32%,3,3,2,2,0,0,85,150,83.80,150.00,2,0,0693,Home,6
Marsh S E,Australia,30.70%,3,3,1,2,0,0,76,175,78.83,87.50,0,0,0693,Home,6
White C L,Australia,5.44%,3,2,1,0,0,0,22*,31,88.57,31.00,3,0,0693,Home,6
Watson S R,Australia,9.82%,2,2,0,0,0,0,29,56,72.73,28.00,2,0,0693,Home,6
Tamim Iqbal,Bangladesh,26.58%,3,3,0,1,0,1,63,84,83.17,28.00,0,0,0693,Away,6
Hopes J R,Australia,3.86%,3,1,0,0,0,0,22,22,73.33,22.00,0,0,0693,Home,6
Mashrafe Mortaza,Bangladesh,6.65%,3,3,2,0,0,0,8*,21,46.67,21.00,1,0,0693,Away,6
Shakib Al Hasan,Bangladesh,16.77%,3,3,0,0,0,0,27,53,63.10,17.67,0,0,0693,Away,6
Hussey D J,Australia,6.14%,3,2,0,0,0,0,24,35,71.43,17.50,3,0,0693,Home,6
Raqibul Hasan,Bangladesh,4.43%,1,1,0,0,0,0,14,14,28.00,14.00,0,0,0693,Away,6
Clarke M J,Australia,7.02%,3,3,0,0,0,0,25,40,38.46,13.33,4,0,0693,Home,6
Dhiman Ghosh,Bangladesh,10.13%,3,3,0,0,0,0,30,32,66.67,10.67,1,1,0693,Away,6
Junaid Siddique,Bangladesh,6.65%,2,2,0,0,0,1,21,21,42.00,10.50,0,0,0693,Away,6
Haddin B J,Australia,3.33%,3,2,0,0,0,0,16,19,43.18,9.50,3,0,0693,Home,6
Abdur Razzak,Bangladesh,8.54%,3,3,0,0,0,0,14,27,38.03,9.00,0,0,0693,Away,6
