Count of  H/A,Column Labels,,
Row Labels,Away,Home,Grand Total
190,16,16,32
191,13,13,26
192,13,12,25
193,11,11,22
194,13,12,25
195,11,11,22
196,11,12,23
197,13,14,27
198,13,13,26
199,13,13,26
200,11,13,24
201,11,11,22
202,14,12,26
203,89,13,102
204,11,11,22
205,14,11,25
206,11,14,25
207,11,11,22
208,11,11,22
209,17,12,29
210,15,17,32
211,13,19,32
212,13,13,26
213,13,13,26
214,14,17,31
215,13,15,28
216,87,13,100
217,11,11,22
218,31,21,52
219,13,13,26
220,13,13,26
221,15,19,34
222,31,16,47
223,12,13,25
224,12,12,24
225,13,11,24
226,32,19,51
227,13,17,30
228,11,13,24
229,14,13,27
230,14,17,31
231,12,11,23
232,13,11,24
233,13,11,24
234,13,13,26
235,15,14,29
236,33,16,49
237,13,12,25
238,11,11,22
239,13,12,25
240,13,13,26
241,13,14,27
242,94,12,106
243,12,11,23
244,14,20,34
245,11,14,25
246,33,18,51
247,15,17,32
248,13,13,26
249,14,14,28
250,35,,35
251,12,12,24
252,14,15,29
253,15,12,27
254,14,11,25
255,12,19,31
256,15,18,33
257,16,13,29
258,33,19,52
259,77,12,89
260,13,12,25
261,48,,48
262,14,13,27
263,12,11,23
264,13,15,28
265,36,,36
266,12,15,27
267,30,16,46
268,16,14,30
269,11,14,25
270,12,13,25
271,22,12,34
272,26,13,39
273,59,,59
274,11,12,23
275,12,13,25
276,13,15,28
277,13,18,31
278,50,,50
279,15,14,29
280,39,14,53
281,29,13,42
282,15,17,32
283,12,13,25
284,51,,51
285,12,13,25
286,82,28,110
287,13,16,29
288,15,21,36
289,32,13,45
290,11,11,22
291,14,16,30
292,43,14,57
293,37,,37
294,11,11,22
295,11,11,22
296,14,12,26
297,39,,39
298,18,15,33
299,12,15,27
300,11,11,22
303,33,14,47
304,11,11,22
305,11,12,23
306,14,11,25
307,12,12,24
308,12,11,23
309,41,,41
310,70,14,84
311,13,13,26
312,14,15,29
313,34,16,50
314,27,14,41
317,77,,77
318,11,12,23
319,12,12,24
320,12,14,26
321,15,15,30
322,33,15,48
323,16,12,28
324,12,13,25
325,25,12,37
326,13,13,26
327,13,13,26
328,13,14,27
329,12,14,26
330,41,,41
331,14,14,28
332,13,13,26
333,29,14,43
334,15,13,28
335,14,14,28
336,98,27,125
337,14,12,26
338,16,15,31
339,11,14,25
340,11,11,22
341,14,14,28
342,30,14,44
343,14,12,26
344,16,13,29
345,14,11,25
346,38,,38
347,14,15,29
348,29,15,44
349,11,11,22
350,13,11,24
351,13,13,26
352,13,14,27
353,14,12,26
354,13,13,26
355,12,13,25
356,12,14,26
357,45,,45
358,57,15,72
359,14,13,27
360,32,17,49
361,13,13,26
362,15,14,29
363,11,15,26
364,16,13,29
365,15,16,31
366,13,12,25
367,73,,73
368,11,11,22
369,13,16,29
370,13,11,24
371,41,12,53
372,31,14,45
373,14,15,29
374,12,13,25
375,28,15,43
376,44,17,61
377,29,14,43
378,13,13,26
379,39,14,53
380,14,12,26
381,16,14,30
382,13,13,26
383,57,,57
384,13,13,26
385,14,14,28
386,40,,40
387,14,13,27
388,13,13,26
389,12,11,23
390,32,14,46
391,17,19,36
392,13,14,27
393,149,14,163
394,14,14,28
395,38,,38
396,42,,42
397,11,11,22
398,14,13,27
399,40,14,54
400,16,13,29
401,13,12,25
402,38,13,51
403,28,16,44
404,15,14,29
405,40,,40
406,14,13,27
407,11,11,22
408,12,11,23
409,32,16,48
410,27,15,42
411,11,11,22
412,16,12,28
413,11,12,23
414,15,14,29
415,39,,39
416,14,12,26
417,39,11,50
418,14,15,29
419,11,11,22
420,37,14,51
421,12,15,27
422,15,13,28
423,12,13,25
424,11,12,23
425,27,13,40
426,40,11,51
427,26,13,39
428,50,,50
429,12,12,24
431,13,17,30
432,30,19,49
433,12,12,24
434,12,12,24
435,14,13,27
436,14,19,33
437,27,15,42
438,29,15,44
439,41,,41
440,11,14,25
441,28,23,51
442,24,14,38
443,26,12,38
444,12,14,26
445,13,16,29
446,103,,103
447,12,15,27
448,42,,42
449,12,15,27
450,12,14,26
451,32,17,49
452,15,18,33
453,14,16,30
454,11,11,22
455,29,17,46
456,28,19,47
457,41,,41
458,14,15,29
459,152,14,166
460,27,14,41
461,41,,41
462,13,12,25
463,13,15,28
464,39,13,52
465,11,13,24
466,42,,42
467,13,13,26
468,13,16,29
469,14,15,29
470,15,13,28
471,31,15,46
472,12,14,26
473,27,17,44
475,11,13,24
476,13,15,28
477,15,16,31
478,42,,42
479,32,14,46
480,13,13,26
481,42,14,56
482,29,13,42
483,31,14,45
484,15,13,28
485,37,,37
486,14,14,28
487,113,11,124
488,41,,41
489,13,14,27
490,11,13,24
491,15,14,29
492,15,16,31
493,13,14,27
494,30,16,46
495,14,15,29
496,14,12,26
497,14,12,26
498,15,15,30
499,13,11,24
500,43,,43
501,16,17,33
502,30,14,44
503,30,15,45
504,26,12,38
505,14,13,27
506,16,16,32
507,31,16,47
508,44,,44
509,14,15,29
510,28,14,42
511,31,17,48
512,14,14,28
513,14,12,26
514,13,15,28
515,15,16,31
516,38,,38
517,14,14,28
518,13,12,25
519,13,12,25
520,13,13,26
521,31,15,46
522,12,14,26
523,44,,44
526,14,17,31
527,15,18,33
528,16,19,35
529,16,16,32
530,13,14,27
531,15,16,31
533,35,19,54
534,17,16,33
535,189,16,205
536,53,,53
538,29,14,43
539,15,15,30
540,12,14,26
541,12,11,23
542,30,15,45
543,14,13,27
544,14,13,27
545,13,17,30
546,27,17,44
547,13,13,26
548,11,11,22
549,14,13,27
550,15,15,30
551,12,13,25
